ID,COSE,Categorie
1,Fare un viaggio in macchina,Creatività
2,Adottare un animale domestico,Relazioni
3,Vedere l'aurora boreale,Avventura
4,Fare volontariato,Relazioni
5,Coltivare il proprio cibo,Natura
6,Scrivere una poesia,Creatività
7,Andare in barca a vela,Avventura
8,Cucinare una torta,Creatività
9,Imparare a suonare uno strumento musicale,Creatività
10,Organizzare una festa a tema,Creatività
11,Nuotare nell'oceano,Avventura
12,Innamorarsi,Relazioni
13,Andare in safari,Avventura
14,Frequentare un corso di ceramica,Creatività
15,Fare surf,Avventura
16,Visitare tutti i continenti,Avventura
17,Piantare un albero,Natura
18,Correre una maratona(min 5 km),Corpo
19,Dare un bacio ai nonni,Relazioni
20,Fare 24 ore senza tecnologia,Spirito
21,Fare meditazione (min 1 ora),Spirito
22,Donare soldi in beneficenza,Relazioni
23,Andare in campeggio (min 1 notte),Avventura
24,Bere del vino costoso (min 100 €),Conoscenza
25,Rimanere svegli fino all'alba,Corpo
26,Creare un vlog,Creatività
27,Mangiare in un ristorante stellato Michelin,Conoscenza
28,Assistere a un'eclissi solare,Conoscenza
29,Andare sulle montagne russe,Avventura
30,Visitare un deserto,Avventura
31,Fare immersioni subacquee,Avventura
32,Trovare un nuovo amico,Relazioni
33,Fare un corso yoga (min 1 ora),Corpo
34,Costruire un pupazzo di neve,Creatività
35,Scalare una montagna,Avventura
36,Imparare una lingua straniera,Spirito
37,Andare all'opera o a teatro ,Creatività
38,Vedere un ghiacciaio ,Avventura
39,Vedere delfini in mare aperto,Avventura
40,Regalare vecchi vestiti,Relazioni
41,Tracciare il proprio albero genealogico,Conoscenza
42,Lanciarsi con il paracadute o gabbia del vento,Avventura
43,Investire dei soldi per il futuro,Spirito
44,Esplorare per bene un parco nazionale,Avventura
45,Consolare un amico,Relazioni
46,Andare a un corso di ballo,Creatività
47,Fare il pane fatto in casa,Creatività
48,Partecipare a una manifestazione,Relazioni
49,Imparare a suonare la scala pentatonica alla chitarra,Creatività
50,Scrivere un libro,Creatività
51,Fare 100 fotografie in un giorno,Creatività
52,Giocare a un gioco da tavola,Relazioni
53,Partecipare a una caccia al tesoro,Avventura
54,Visitare una delle sette meraviglie del Mondo Antico,Avventura
55,Creare un giardino verticale,Creatività
56,Partecipare a un festival musicale per piu di un giorno,Creatività
57,Imparare a fare almeno 7 cocktail,Creatività
58,Fare un viaggio in solitaria,Avventura
59,Imparare a fare massaggi,Corpo
60,Travestirsi da cosplay,Creatività
61,Imparare a fare almeno 3 origami,Creatività
62,Visitare un vulcano attivo,Avventura
63,Fare un viaggio in mongolfiera,Avventura
64,andare a una sfilata di moda,Creatività
65,Fare un graffito o scritta in strada,Creatività
66,Giocare a un gioco online con amici ,Relazioni
67,Imparare a fare il sushi a casa,Creatività
68,Visitare una città abbandonata,Avventura
69,Partecipare a un flash mob,Creatività
70,Creare un proprio profumo,Creatività
71,Crearsi un oggetto utile ,Creatività
72,Partecipare a una gara di mangiate,Corpo
73,Dipingere un quadro,Creatività
74,Partecipare a una danza tradizionale locale,Avventura
75,Visitare un sito archeologico antico,Conoscenza
76,Curare una pianta per almeno un anno,Crescita personale
77,Andare a una mostra d'arte,Creatività
78,Insegnare una competenza a qualcuno,Spirito
79,Imparare a fare il mosaico,Creatività
80,Partecipare a una competizione di sand art,Creatività
81,Imparare a fare la calligrafia,Creatività
82,Visitare un monastero,Spirito
83,Fare un tour in elicottero,Avventura
84,Digiunare volontariamente per 24 ore,Spirito
85,Organizzare una cena a lume di candela,Relazioni
86,Andare allo stadio,Relazioni
87,Scrivere una lettera a se stessi del futuro,Spirito
88,Fare amicizia con qualcuno di un'altra cultura,Relazioni
89,Bere del the con biscotti in una sala da te,Relazioni
90,Imparare ad andare a cavallo,Avventura
91,Creare e usare (per 1 mese) un account social falso,Relazioni
92,Andare a pesca,Avventura
93,Passare una notte in un grattacielo di lusso,Avventura
94,Fare una passegiata notturna,Avventura
95,Fare il bagno a mare nudi,Avventura
96,Fare un puzzle (Min 1000 pz),Creatività
97,Fare 21 giorni senza carne (dieta vegetariana),Spirito
98,Fare un viaggio senza una destinazione pianificata ,Avventura
99,Imparare a sciare/snowboard ,Corpo
100,Visitare la tua città per un giorno da turista,Avventura
